"filename", "language", "JavaScript", "vue", "comment", "blank", "total"
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\App.vue", "vue", 0, 17, 2, 5, 24
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\components\Card.vue", "vue", 0, 47, 0, 9, 56
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\components\Economic.vue", "vue", 0, 214, 3, 8, 225
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\components\Folk2.vue", "vue", 0, 221, 5, 37, 263
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\components\Footer.vue", "vue", 0, 39, 0, 6, 45
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\components\History.vue", "vue", 0, 76, 0, 6, 82
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\components\Location.vue", "vue", 0, 42, 0, 4, 46
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\components\Navbar.vue", "vue", 0, 157, 2, 21, 180
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\components\Source.vue", "vue", 0, 64, 0, 5, 69
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\main.js", "JavaScript", 5, 0, 1, 3, 9
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\router\index.js", "JavaScript", 38, 0, 0, 6, 44
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Article1.vue", "vue", 0, 178, 0, 23, 201
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Article2.vue", "vue", 0, 74, 0, 12, 86
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Article3.vue", "vue", 0, 17, 0, 3, 20
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Character.vue", "vue", 0, 164, 0, 26, 190
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Economics.vue", "vue", 0, 141, 2, 15, 158
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Folk.vue", "vue", 0, 120, 0, 18, 138
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Home.vue", "vue", 0, 515, 11, 66, 592
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Tour.vue", "vue", 0, 196, 8, 34, 238
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Town.vue", "vue", 0, 77, 0, 12, 89
"d:\SXU files\MarxismPractical_webpage\marxism-prac-webpage_code\src\views\Walk.vue", "vue", 0, 175, 4, 21, 200
"Total", "-", 43, 2534, 38, 340, 2955
